id,name,tax_payer_company/id,tax_payer_partner/id,withholding_calc_id/id,withholding_id/id,withholding_cate_product/id
R72,RETENCION 2% Renta Compra 307,l10n_ec_par.tax_id_type_02,l10n_ec_par.tax_id_type_04,withholding_odoo.w13,withholding_odoo.4,withholding_odoo.category_2
R73,RETENCION 2% Renta Compra 307,l10n_ec_par.tax_id_type_03,l10n_ec_par.tax_id_type_01,withholding_odoo.w13,withholding_odoo.4,withholding_odoo.category_2
R74,RETENCION 2% Renta Compra 307,l10n_ec_par.tax_id_type_03,l10n_ec_par.tax_id_type_02,withholding_odoo.w13,withholding_odoo.4,withholding_odoo.category_2
R75,RETENCION 2% Renta Compra 307,l10n_ec_par.tax_id_type_03,l10n_ec_par.tax_id_type_03,withholding_odoo.w13,withholding_odoo.4,withholding_odoo.category_2
R76,RETENCION 2% Renta Compra 307,l10n_ec_par.tax_id_type_03,l10n_ec_par.tax_id_type_04,withholding_odoo.w13,withholding_odoo.4,withholding_odoo.category_2
R77,RETENCION 10% Renta,l10n_ec_par.tax_id_type_04,l10n_ec_par.tax_id_type_01,withholding_odoo.w14,withholding_odoo.4,withholding_odoo.category_3
R78,RETENCION 10% Renta,l10n_ec_par.tax_id_type_04,l10n_ec_par.tax_id_type_02,withholding_odoo.w14,withholding_odoo.4,withholding_odoo.category_3
R79,RETENCION 10% Renta,l10n_ec_par.tax_id_type_04,l10n_ec_par.tax_id_type_03,withholding_odoo.w14,withholding_odoo.4,withholding_odoo.category_3
R80,RETENCION 10% Renta,l10n_ec_par.tax_id_type_04,l10n_ec_par.tax_id_type_04,withholding_odoo.w14,withholding_odoo.4,withholding_odoo.category_3
R81,RETENCION 10% Renta,l10n_ec_par.tax_id_type_01,l10n_ec_par.tax_id_type_01,withholding_odoo.w14,withholding_odoo.4,withholding_odoo.category_3
R82,RETENCION 10% Renta,l10n_ec_par.tax_id_type_01,l10n_ec_par.tax_id_type_02,withholding_odoo.w14,withholding_odoo.4,withholding_odoo.category_3
R83,RETENCION 10% Renta,l10n_ec_par.tax_id_type_01,l10n_ec_par.tax_id_type_03,withholding_odoo.w14,withholding_odoo.4,withholding_odoo.category_3
R84,RETENCION 10% Renta,l10n_ec_par.tax_id_type_01,l10n_ec_par.tax_id_type_04,withholding_odoo.w14,withholding_odoo.4,withholding_odoo.category_3
R85,RETENCION 10% Renta,l10n_ec_par.tax_id_type_02,l10n_ec_par.tax_id_type_01,withholding_odoo.w14,withholding_odoo.4,withholding_odoo.category_3
R86,RETENCION 10% Renta,l10n_ec_par.tax_id_type_02,l10n_ec_par.tax_id_type_02,withholding_odoo.w14,withholding_odoo.4,withholding_odoo.category_3
R87,RETENCION 10% Renta,l10n_ec_par.tax_id_type_02,l10n_ec_par.tax_id_type_03,withholding_odoo.w14,withholding_odoo.4,withholding_odoo.category_3
